Semester Description,Program Start Date,Program Tuition Fee,Program Title,Primary Contact City
Fall 2024,2024-11-23,55.0,Mixed Media Potluck Workshop with Derek Owens | Saturday 11/23 1-4pm| Fall 2024,Huntington Station
Fall 2024,2024-11-26,140.0,Open Studio Long Poses with Donna Harlow Moraff | Tue 1pm-4pm | 11/26-12/17 | Fall 2024,Old Bethpage
Fall 2024,2024-12-08,0.0,Paper Cutting Snowflake Workshop with Rob Stenzel | Sunday 12/8 1:00pm - 2:30pm | Fall 2024,massapequa
Fall 2024,2024-12-05,215.0,Abstract Painting: Acrylics with Kevin Larkin |Thursdays 2-5pm| 12/5-12/19 | Fall 2024,Oyster Bay
Fall 2024,2024-12-05,215.0,The Painters Path with David Peikon | Thursday 1:30-4:30pm | 12/5-12/19 | Fall 2024,New York
Fall 2024,2024-11-26,140.0,Open Studio Long Poses with Donna Harlow Moraff | Tue 1pm-4pm | 11/26-12/17 | Fall 2024,Holbrook
Fall 2024,2024-12-10,105.0,Intro to Metalsmithing: Open Rings Workshop with Jen Salta | Tuesday 12/10 | 7-9 pm,Middle Island
Fall 2024,2024-12-10,105.0,Intro to Metalsmithing: Open Rings Workshop with Jen Salta | Tuesday 12/10 | 7-9 pm,West Babylon
Fall 2024,2024-11-26,55.0,Finger Knitting Workshop with Amy Tischler | Tuesday 11/26 6pm-9pm| Fall 2024,West Babylon
Fall 2024,2024-11-27,292.0,Handbuilding - Plan to Technique with Laura Peters | Wed 1-4pm | 11/27-12/18| Fall 2024,Seaford
Fall 2024,2024-12-10,105.0,Intro to Metalsmithing: Open Rings Workshop with Jen Salta | Tuesday 12/10 | 7-9 pm,Dix Hills
Fall 2024,2024-11-22,215.0,The World of Watercolor with Ross Barbera | Fri 10am-1pm | 11/22-12/20 | Fall 2024,Huntington
Fall 2024,2024-11-20,0.0,Create Nights - Teen Craft Night Moderated by Rob Stenzel | Wednesday 11/20 | 7pm-9pm,Ronkonkoma
Fall 2024,2024-12-05,440.0,Introduction to Blacksmith Jewelry with Nicholas Colombo | Thursdays 6-9pm | 12/5-12/19 | Fall 2024,Roslyn Heights
Spring 2025,2025-01-07,575.0,Advanced Silversmithing with Marla Mencher | Tuesday 1-5pm | 1/7-2/4 | Spring 2025,Plainview
Spring 2025,2025-02-25,575.0,Advanced Silversmithing with Marla Mencher | Tuesday 1-5pm | 2/25-3/25 | Spring 2025,Plainview
Spring 2025,2025-04-22,575.0,Advanced Silversmithing with Marla Mencher | Tuesday 1-5pm | 4/22-5/20 | Spring 2025,Plainview
Spring 2025,2025-01-07,575.0,Advanced Silversmithing with Marla Mencher | Tuesday 1-5pm | 1/7-2/4 | Spring 2025,DIX HILLS
Spring 2025,2025-02-25,575.0,Advanced Silversmithing with Marla Mencher | Tuesday 1-5pm | 2/25-3/25 | Spring 2025,DIX HILLS
Spring 2025,2025-04-22,575.0,Advanced Silversmithing with Marla Mencher | Tuesday 1-5pm | 4/22-5/20 | Spring 2025,DIX HILLS
Spring 2025,2025-01-07,575.0,Advanced Silversmithing with Marla Mencher | Tuesday 1-5pm | 1/7-2/4 | Spring 2025,Dix Hills
Spring 2025,2025-02-25,575.0,Advanced Silversmithing with Marla Mencher | Tuesday 1-5pm | 2/25-3/25 | Spring 2025,Dix Hills
Spring 2025,2025-04-22,575.0,Advanced Silversmithing with Marla Mencher | Tuesday 1-5pm | 4/22-5/20 | Spring 2025,Dix Hills
Spring 2025,2025-01-07,575.0,Advanced Silversmithing with Marla Mencher | Tuesday 1-5pm | 1/7-2/4 | Spring 2025,Roslyn
Spring 2025,2025-02-25,575.0,Advanced Silversmithing with Marla Mencher | Tuesday 1-5pm | 2/25-3/25 | Spring 2025,Roslyn
Spring 2025,2025-04-22,575.0,Advanced Silversmithing with Marla Mencher | Tuesday 1-5pm | 4/22-5/20 | Spring 2025,Roslyn
Spring 2025,2025-01-07,575.0,Advanced Silversmithing with Marla Mencher | Tuesday 1-5pm | 1/7-2/4 | Spring 2025,Merrick
Spring 2025,2025-02-25,575.0,Advanced Silversmithing with Marla Mencher | Tuesday 1-5pm | 2/25-3/25 | Spring 2025,Merrick
Spring 2025,2025-04-22,575.0,Advanced Silversmithing with Marla Mencher | Tuesday 1-5pm | 4/22-5/20 | Spring 2025,Merrick
Spring 2025,2025-01-07,575.0,Advanced Silversmithing with Marla Mencher | Tuesday 1-5pm | 1/7-2/4 | Spring 2025,Huntington
Spring 2025,2025-02-25,575.0,Advanced Silversmithing with Marla Mencher | Tuesday 1-5pm | 2/25-3/25 | Spring 2025,Huntington
Spring 2025,2025-04-22,575.0,Advanced Silversmithing with Marla Mencher | Tuesday 1-5pm | 4/22-5/20 | Spring 2025,Huntington
Spring 2025,2025-01-11,329.0,All Levels Silversmithing with Marla Mencher | Saturdays 9:30am-1:30pm | 1/11-2/8 | Spring 2025,Hauppauge
Spring 2025,2025-04-26,329.0,All Levels Silversmithing with Marla Mencher | Saturdays 9:30am-1:30pm | 4/26-5/24 | Spring 2025,Hauppauge
Spring 2025,2025-01-11,329.0,All Levels Silversmithing with Marla Mencher | Saturdays 9:30am-1:30pm | 1/11-2/8 | Spring 2025,BOHEMIA
Spring 2025,2025-01-09,397.0,Beginner Silversmithing with Marla Mencher | Thursdays 12pm-4pm | 1/9-2/6 | Spring 2025,Huntington
Spring 2025,2025-02-27,397.0,Beginner Silversmithing with Marla Mencher | Thursdays 12pm-4pm | 2/27-3/27| Spring 2025,Huntington
Spring 2025,2025-03-01,329.0,All Levels Silversmithing with Marla Mencher | Saturdays 9:30am-1:30pm | 3/1-3/29 | Spring 2025,BOHEMIA
Spring 2025,2025-01-09,397.0,Beginner Silversmithing with Marla Mencher | Thursdays 12pm-4pm | 1/9-2/6 | Spring 2025,Huntington
Spring 2025,2025-02-27,397.0,Beginner Silversmithing with Marla Mencher | Thursdays 12pm-4pm | 2/27-3/27| Spring 2025,Huntington
Spring 2025,2025-04-24,397.0,Beginner Silversmithing with Marla Mencher | Thursdays 12pm-4pm | 4/24-5/22 | Spring 2025,Huntington
Spring 2025,2025-01-11,329.0,All Levels Silversmithing with Marla Mencher | Saturdays 9:30am-1:30pm | 1/11-2/8 | Spring 2025,Oceanside
Spring 2025,2025-01-11,329.0,All Levels Silversmithing with Marla Mencher | Saturdays 9:30am-1:30pm | 1/11-2/8 | Spring 2025,Oceanside
Spring 2025,2025-03-01,329.0,All Levels Silversmithing with Marla Mencher | Saturdays 9:30am-1:30pm | 3/1-3/29 | Spring 2025,Oceanside
Spring 2025,2025-03-01,329.0,All Levels Silversmithing with Marla Mencher | Saturdays 9:30am-1:30pm | 3/1-3/29 | Spring 2025,Oceanside
Spring 2025,2025-02-25,440.0,Intermediate Silversmithing with Marla Mencher | Tues 9:30am-12:30 pm | 2/25-3/25 | Spring 2025,Yaphank
Spring 2025,2025-03-01,329.0,All Levels Silversmithing with Marla Mencher | Saturdays 9:30am-1:30pm | 3/1-3/29 | Spring 2025,Huntington
Spring 2025,2025-04-26,329.0,All Levels Silversmithing with Marla Mencher | Saturdays 9:30am-1:30pm | 4/26-5/24 | Spring 2025,Huntington
Spring 2025,2025-01-09,397.0,Beginner Silversmithing with Marla Mencher | Thursdays 12pm-4pm | 1/9-2/6 | Spring 2025,Yaphank
Spring 2025,2025-01-09,397.0,Beginner Silversmithing with Marla Mencher | Thursdays 12pm-4pm | 1/9-2/6 | Spring 2025,East  Northport
Spring 2025,2025-04-22,440.0,Intermediate Silversmithing with Marla Mencher | Tues 9:30am-12:30 pm | 4/22-5/20 | Spring 2025,Yaphank
Spring 2025,2025-01-09,397.0,Beginner Silversmithing with Marla Mencher | Thursdays 12pm-4pm | 1/9-2/6 | Spring 2025,South Setauket
Spring 2025,2025-04-26,329.0,All Levels Silversmithing with Marla Mencher | Saturdays 9:30am-1:30pm | 4/26-5/24 | Spring 2025,Bay Shore
Spring 2025,2025-04-26,329.0,All Levels Silversmithing with Marla Mencher | Saturdays 9:30am-1:30pm | 4/26-5/24 | Spring 2025,Forest Hills
Spring 2025,2025-01-11,329.0,All Levels Silversmithing with Marla Mencher | Saturdays 9:30am-1:30pm | 1/11-2/8 | Spring 2025,Forest Hills
Spring 2025,2025-03-01,329.0,All Levels Silversmithing with Marla Mencher | Saturdays 9:30am-1:30pm | 3/1-3/29 | Spring 2025,Forest Hills
Fall 2024,2024-12-07,0.0,Paper Cutting Snowflake Workshop with Rob Stenzel | Saturday 12/7 11:00am - 12:30pm | Fall 2024,
Spring 2025,2025-01-11,329.0,All Levels Silversmithing with Marla Mencher | Saturdays 9:30am-1:30pm | 1/11-2/8 | Spring 2025,patchogue
Spring 2025,2025-01-09,397.0,Beginner Silversmithing with Marla Mencher | Thursdays 12pm-4pm | 1/9-2/6 | Spring 2025,Plainview
Spring 2025,2025-04-26,329.0,All Levels Silversmithing with Marla Mencher | Saturdays 9:30am-1:30pm | 4/26-5/24 | Spring 2025,Plainview
Spring 2025,2025-02-27,397.0,Beginner Silversmithing with Marla Mencher | Thursdays 12pm-4pm | 2/27-3/27| Spring 2025,Plainview
Spring 2025,2025-02-25,440.0,Intermediate Silversmithing with Marla Mencher | Tues 9:30am-12:30 pm | 2/25-3/25 | Spring 2025,Huntington
Spring 2025,2025-04-22,440.0,Intermediate Silversmithing with Marla Mencher | Tues 9:30am-12:30 pm | 4/22-5/20 | Spring 2025,Huntington
Fall 2024,2024-11-23,120.0,Young Artists Ceramic Hand Building with Rachel Woelfel | Ages 6-10 | Saturday 9:30-11am | 11/23-12/21| Fall 2024,Huntington Station
Fall 2024,2024-11-22,215.0,The World of Watercolor with Ross Barbera | Fri 10am-1pm | 11/22-12/20 | Fall 2024,Commack
Fall 2024,2024-11-22,215.0,The World of Watercolor with Ross Barbera | Fri 10am-1pm | 11/22-12/20 | Fall 2024,Northport
Fall 2024,2024-12-05,215.0,Abstract Painting: Acrylics with Kevin Larkin |Thursdays 2-5pm| 12/5-12/19 | Fall 2024,Kings Park
Fall 2024,2024-11-22,215.0,The World of Watercolor with Ross Barbera | Fri 10am-1pm | 11/22-12/20 | Fall 2024,Huntington
Fall 2024,2024-12-07,0.0,Paper Cutting Snowflake Workshop with Rob Stenzel | Saturday 12/7 11:00am - 12:30pm | Fall 2024,
Fall 2024,2024-11-26,194.0,Beginner Watercolor with Liz Fusco | Tues 6:30-8:30pm | 11/26-12/17 | Fall 2024,Floral Park
Fall 2024,2024-12-05,150.0,Pastels: Beginning and Beyond with Marlene Bezich | Thursdays 6-9pm | 12/5-12/19 | Fall 2024,Floral Park
Fall 2024,2024-11-20,0.0,Create Nights - Teen Craft Night Moderated by Rob Stenzel | Wednesday 11/20 | 7pm-9pm,Stony Brook
Spring 2025,2025-03-01,329.0,All Levels Silversmithing with Marla Mencher | Saturdays 9:30am-1:30pm | 3/1-3/29 | Spring 2025,Ronkonkoma
Spring 2025,2025-04-26,329.0,All Levels Silversmithing with Marla Mencher | Saturdays 9:30am-1:30pm | 4/26-5/24 | Spring 2025,BOHEMIA
Fall 2024,2024-11-23,120.0,Young Artists Ceramic Hand Building with Rachel Woelfel | Ages 6-10 | Saturday 9:30-11am | 11/23-12/21| Fall 2024,East Northport
Fall 2024,2024-10-26,150.0,Young Artists Ceramic Hand Building with Rachel Woelfel | Ages 6-10 | Saturday 9:30-11am | 10/26-11/16 | Fall 2024,East Northport
Fall 2024,2024-11-16,35.0,Ceramics Open Studio | Saturdays 12:30-3:30pm | 11/16 | Fall 2024,South Salem
Fall 2024,2024-11-16,35.0,Ceramics Open Studio | Saturdays 12:30-3:30pm | 11/16 | Fall 2024,Muttontown
Spring 2025,2025-02-27,397.0,Beginner Silversmithing with Marla Mencher | Thursdays 12pm-4pm | 2/27-3/27| Spring 2025,
Fall 2024,2024-11-23,225.0,Intermediate & Advanced  Wheel Throwing with Jesus Antoshka | Saturdays 9:30am-12:30pm  | 11/23-12/21 | Fall 2024,NY
Fall 2024,2024-11-23,55.0,Mixed Media Potluck Workshop with Derek Owens | Saturday 11/23 1-4pm| Fall 2024,
Spring 2025,2025-01-09,397.0,Beginner Silversmithing with Marla Mencher | Thursdays 12pm-4pm | 1/9-2/6 | Spring 2025,Northport
Spring 2025,2025-02-27,397.0,Beginner Silversmithing with Marla Mencher | Thursdays 12pm-4pm | 2/27-3/27| Spring 2025,Northport
Spring 2025,2025-04-24,397.0,Beginner Silversmithing with Marla Mencher | Thursdays 12pm-4pm | 4/24-5/22 | Spring 2025,Northport
Fall 2024,2024-11-23,225.0,Intermediate & Advanced  Wheel Throwing with Jesus Antoshka | Saturdays 9:30am-12:30pm  | 11/23-12/21 | Fall 2024,Greenlawn
Fall 2024,2024-11-22,215.0,The World of Watercolor with Ross Barbera | Fri 10am-1pm | 11/22-12/20 | Fall 2024,East Northport
Spring 2025,2025-01-10,430.0,Advanced World of Watercolor with Ross Barbera | Fri 9:30am-12:30pm | 1/10-2/14 | Spring 2025,East Northport
Fall 2024,2024-11-26,194.0,Beginner Watercolor with Liz Fusco | Tues 6:30-8:30pm | 11/26-12/17 | Fall 2024,East Northport
Fall 2024,2024-11-26,194.0,Intermediate Watercolor with Liz Fusco | Tues 9am-11am | 11/26-12/17 | Fall 2024,Melville
Fall 2024,2024-12-05,150.0,Pastels: Beginning and Beyond with Marlene Bezich | Thursdays 6-9pm | 12/5-12/19 | Fall 2024,Melville
Fall 2024,2024-11-22,215.0,The World of Watercolor with Ross Barbera | Fri 10am-1pm | 11/22-12/20 | Fall 2024,MASTIC BEACH
Fall 2024,2024-11-14,225.0,Figure Construction & Anatomy with Stu Yellin | Thursdays 6:00-9:00 pm | 11/14-12/19 | Fall 2024,Dix hills
Fall 2024,2024-11-26,55.0,Finger Knitting Workshop with Amy Tischler | Tuesday 11/26 6pm-9pm| Fall 2024,Smithtown
Fall 2024,2024-12-04,95.0,Open Studio w/Model - Short Pose | Linda Gottlieb | Weds 6pm-9pm | 12/4-12/18 | Fall 2024,Amityville
Fall 2024,2024-12-05,95.0,Open Studio w/Model - Short Pose | Linda Gottlieb | Thurs 10:30am-1:30pm | 12/5-12/19 | Fall 2024,Amityville
Fall 2024,2024-11-23,225.0,Atelier Drawing and Painting with Bill Graf | Saturdays 10am-1pm |11/23-12/21 | Fall 2024,Halesite
Spring 2025,2025-04-22,440.0,Intermediate Silversmithing with Marla Mencher | Tues 9:30am-12:30 pm | 4/22-5/20 | Spring 2025,Centerport
Spring 2025,2025-02-25,440.0,Intermediate Silversmithing with Marla Mencher | Tues 9:30am-12:30 pm | 2/25-3/25 | Spring 2025,Centerport
Fall 2024,2024-11-22,225.0,Intermediate Wheel Throwing with Jesus Antoshka | Fridays 10am-1pm | 11/22-12/20 | Fall 2024,Huntington
Fall 2024,2024-12-03,280.0,Printmaking Sampler with Stephanie Navon Jacobson | Tues 9:30-1:30 | 12/3-12/17 | Fall 2024,Huntington
Fall 2024,2024-11-23,55.0,Mixed Media Potluck Workshop with Derek Owens | Saturday 11/23 1-4pm| Fall 2024,Huntington
Spring 2025,2025-04-22,440.0,Intermediate Silversmithing with Marla Mencher | Tues 9:30am-12:30 pm | 4/22-5/20 | Spring 2025,Centerport
Spring 2025,2025-02-25,440.0,Intermediate Silversmithing with Marla Mencher | Tues 9:30am-12:30 pm | 2/25-3/25 | Spring 2025,Centerport
Spring 2025,2025-01-09,397.0,Beginner Silversmithing with Marla Mencher | Thursdays 12pm-4pm | 1/9-2/6 | Spring 2025,Centerport
Spring 2025,2025-01-07,252.0,Pastels: Beginning and Beyond with Marlene Bezich | Tuesdays 1:30-3:30pm | 1/7-2/11 | Spring 2025,Huntington Station
Spring 2025,2025-01-07,252.0,Pastels: Beginning and Beyond with Marlene Bezich | Tuesdays 1:30-3:30pm | 1/7-2/11 | Spring 2025,Deer Park
Fall 2024,2024-11-26,194.0,Fundamentals of Drawing with Liz Fusco | Tuesdays 11:30am-1:30pm | 11/26-12/17 | Fall 2024,Freeport
Fall 2024,2024-11-26,194.0,Beginner Watercolor with Liz Fusco | Tues 6:30-8:30pm | 11/26-12/17 | Fall 2024,Freeport
Fall 2024,2024-11-26,194.0,Intermediate Watercolor with Liz Fusco | Tues 9am-11am | 11/26-12/17 | Fall 2024,Freeport
Fall 2024,2024-11-26,194.0,Pastels: Beginning and Beyond with Marlene Bezich | Tuesdays 1:30-3:30pm | 11/26-12/17 | Fall 2024,Dix Hills
Fall 2024,2024-11-26,194.0,Pastels: Beginning and Beyond with Marlene Bezich | Tuesdays 1:30-3:30pm | 11/26-12/17 | Fall 2024,
Fall 2024,2024-11-26,140.0,Open Studio Long Poses with Donna Harlow Moraff | Tue 1pm-4pm | 11/26-12/17 | Fall 2024,Westhampton
Fall 2024,2024-11-26,140.0,Open Studio Long Poses with Donna Harlow Moraff | Tue 1pm-4pm | 11/26-12/17 | Fall 2024,Smithtown
Spring 2025,2025-01-07,245.0,Creative Cartooning & Realistic Drawing with Lori Hochberg | Ages 8-12 |Tues 5:30-7:00pm| 1/7-2/11 | Spring 2025,Dix Hills
Spring 2025,2025-02-25,285.0,Creative Cartooning & Realistic Drawing with Lori Hochberg | Ages 8-12 |Tues 5:30-7:00pm| 2/25-4/8 | Spring 2025,Dix Hills
Fall 2024,2024-11-26,250.0,Pre-College Portfolio Figure Drawing with Stephanie Folk | Tuesdays 7:00-9:00| 11/26-12/17  | Fall 2024,Huntington
Fall 2024,2024-11-26,194.0,Fundamentals of Drawing with Liz Fusco | Tuesdays 11:30am-1:30pm | 11/26-12/17 | Fall 2024,Port Jefferson Station
Fall 2024,2024-11-23,120.0,Young Artists Ceramic Hand Building with Rachel Woelfel | Ages 6-10 | Saturday 9:30-11am | 11/23-12/21| Fall 2024,
Fall 2024,2024-11-23,120.0,Young Artists Ceramic Hand Building with Rachel Woelfel | Ages 6-10 | Saturday 9:30-11am | 11/23-12/21| Fall 2024,
Fall 2024,2024-11-23,105.0,Book and Brush Painting with Rachel Woelfel | Ages 5-7 | Saturdays 11:30am-12:30pm | 11/23-12/21 | Fall 2024,Dix Hills
Fall 2024,2024-11-23,120.0,Young Artists Ceramic Hand Building with Rachel Woelfel | Ages 6-10 | Saturday 9:30-11am | 11/23-12/21| Fall 2024,Dix Hills
Fall 2024,2024-11-23,55.0,Mixed Media Potluck Workshop with Derek Owens | Saturday 11/23 1-4pm| Fall 2024,Patchogue
Fall 2024,2024-12-05,440.0,Introduction to Blacksmith Jewelry with Nicholas Colombo | Thursdays 6-9pm | 12/5-12/19 | Fall 2024,Centerport
Fall 2024,2024-12-05,215.0,The Painters Path with David Peikon | Thursday 1:30-4:30pm | 12/5-12/19 | Fall 2024,Merrick
Fall 2024,2024-11-27,292.0,Handbuilding - Plan to Technique with Laura Peters | Wed 1-4pm | 11/27-12/18| Fall 2024,Islip Terrace
Fall 2024,2024-11-22,215.0,The World of Watercolor with Ross Barbera | Fri 10am-1pm | 11/22-12/20 | Fall 2024,huntington
Fall 2024,2024-11-23,55.0,Mixed Media Potluck Workshop with Derek Owens | Saturday 11/23 1-4pm| Fall 2024,Fort Salonga
Fall 2024,2024-11-23,55.0,Mixed Media Potluck Workshop with Derek Owens | Saturday 11/23 1-4pm| Fall 2024,Fort Salonga
Fall 2024,2024-12-05,95.0,Open Studio w/Model - Short Pose | Linda Gottlieb | Thurs 10:30am-1:30pm | 12/5-12/19 | Fall 2024,Huntington
Fall 2024,2024-12-05,440.0,Introduction to Blacksmith Jewelry with Nicholas Colombo | Thursdays 6-9pm | 12/5-12/19 | Fall 2024,Syosset
Fall 2024,2024-11-23,55.0,Mixed Media Potluck Workshop with Derek Owens | Saturday 11/23 1-4pm| Fall 2024,Westbury
Fall 2024,2024-12-03,280.0,Printmaking Sampler with Stephanie Navon Jacobson | Tues 9:30-1:30 | 12/3-12/17 | Fall 2024,Wantagh
Fall 2024,2024-12-05,215.0,The Painter's Path with David Peikon | Thursdays 10am-1pm | 12/5-12/19 |Fall 2024,St. James
Fall 2024,2024-11-22,225.0,Intermediate Wheel Throwing with Jesus Antoshka | Fridays 10am-1pm | 11/22-12/20 | Fall 2024,Northport
Fall 2024,2024-12-05,215.0,The Painter's Path with David Peikon | Thursdays 10am-1pm | 12/5-12/19 |Fall 2024,Huntington
Fall 2024,2024-12-05,215.0,Abstract Painting: Acrylics with Kevin Larkin |Thursdays 2-5pm| 12/5-12/19 | Fall 2024,East Northport
Spring 2025,2025-02-27,397.0,Beginner Silversmithing with Marla Mencher | Thursdays 12pm-4pm | 2/27-3/27| Spring 2025,Wantagh
Fall 2024,2024-11-23,35.0,Ceramics Open Studio | Saturdays 12:30-3:30pm | 11/23 | Fall 2024,Greenlawn
Spring 2025,2025-01-11,175.0,Book and Brush Painting with Rachel Woelfel | Ages 5-7 | Saturdays 11:30am-12:30pm | 1/11-2/15  | Spring 2025,
Fall 2024,2024-12-07,0.0,Paper Cutting Snowflake Workshop with Rob Stenzel | Saturday 12/7 11:00am - 12:30pm | Fall 2024,Westbury
Fall 2024,2024-12-18,0.0,Create Nights - Holiday Ornaments Moderated by Rob Stenzel | Wednesday 12/18 | 7pm-9pm,West Babylon
Fall 2024,2024-11-22,10.0,Art Gathering Pt. 2 with Teresa Simeone | Friday 11/22 10am-1pm| Fall 2024,
Fall 2024,2024-12-18,0.0,Create Nights - Holiday Ornaments Moderated by Rob Stenzel | Wednesday 12/18 | 7pm-9pm,Farmingdale
Fall 2024,2024-11-23,35.0,Ceramics Open Studio | Saturdays 12:30-3:30pm | 11/23 | Fall 2024,Commack
Fall 2024,2024-12-05,215.0,Abstract Painting: Acrylics with Kevin Larkin |Thursdays 2-5pm| 12/5-12/19 | Fall 2024,Northport
Fall 2024,2024-12-02,35.0,Ceramics Open Studio | Mondays 11am-2pm | 12/2 | Fall 2024,Southold
Fall 2024,2024-11-22,10.0,Art Gathering Pt. 2 with Teresa Simeone | Friday 11/22 10am-1pm| Fall 2024,Huntington Station
Fall 2024,2024-11-23,225.0,Intermediate & Advanced  Wheel Throwing with Jesus Antoshka | Saturdays 9:30am-12:30pm  | 11/23-12/21 | Fall 2024,Huntington
Spring 2025,2025-01-10,430.0,Advanced World of Watercolor with Ross Barbera | Fri 9:30am-12:30pm | 1/10-2/14 | Spring 2025,smithtown
Spring 2025,2025-02-28,495.0,Advanced World of Watercolor with Ross Barbera | Fri 9:30am-12:30pm | 2/28-4/11 | Spring 2025,smithtown
Fall 2024,2024-12-18,0.0,Create Nights - Holiday Ornaments Moderated by Rob Stenzel | Wednesday 12/18 | 7pm-9pm,Ronkonkoma
Fall 2024,2024-12-18,0.0,Create Nights - Holiday Ornaments Moderated by Rob Stenzel | Wednesday 12/18 | 7pm-9pm,Ronkonkoma
Fall 2024,2024-12-08,0.0,Paper Cutting Snowflake Workshop with Rob Stenzel | Sunday 12/8 1:00pm - 2:30pm | Fall 2024,Ronkonkoma
Fall 2024,2024-12-08,0.0,Paper Cutting Snowflake Workshop with Rob Stenzel | Sunday 12/8 1:00pm - 2:30pm | Fall 2024,Ronkonkoma
Fall 2024,2024-11-23,35.0,Ceramics Open Studio | Saturdays 12:30-3:30pm | 11/23 | Fall 2024,South Salem
Fall 2024,2024-12-05,215.0,The Painters Path with David Peikon | Thursday 1:30-4:30pm | 12/5-12/19 | Fall 2024,South Huntington
Spring 2025,2025-01-10,430.0,Advanced World of Watercolor with Ross Barbera | Fri 9:30am-12:30pm | 1/10-2/14 | Spring 2025,PLAINVIEW
Fall 2024,2024-12-03,280.0,Printmaking Sampler with Stephanie Navon Jacobson | Tues 9:30-1:30 | 12/3-12/17 | Fall 2024,Huntington
Fall 2024,2024-12-18,0.0,Create Nights - Holiday Ornaments Moderated by Rob Stenzel | Wednesday 12/18 | 7pm-9pm,Glen Cove
Fall 2024,2024-12-18,0.0,Create Nights - Holiday Ornaments Moderated by Rob Stenzel | Wednesday 12/18 | 7pm-9pm,Glen Cove
Fall 2024,2024-11-27,292.0,Handbuilding - Plan to Technique with Laura Peters | Wed 1-4pm | 11/27-12/18| Fall 2024,Long Beach
Fall 2024,2024-11-26,194.0,Beginner Watercolor with Liz Fusco | Tues 6:30-8:30pm | 11/26-12/17 | Fall 2024,Rocky Point
Fall 2024,2024-11-26,194.0,Fundamentals of Drawing with Liz Fusco | Tuesdays 11:30am-1:30pm | 11/26-12/17 | Fall 2024,Huntington
Fall 2024,2024-11-26,194.0,Fundamentals of Drawing with Liz Fusco | Tuesdays 11:30am-1:30pm | 11/26-12/17 | Fall 2024,West Islip
Fall 2024,2024-11-23,120.0,Young Artists Ceramic Hand Building with Rachel Woelfel | Ages 6-10 | Saturday 9:30-11am | 11/23-12/21| Fall 2024,Commack
Fall 2024,2024-12-04,95.0,Open Studio w/Model - Short Pose | Linda Gottlieb | Weds 6pm-9pm | 12/4-12/18 | Fall 2024,Plainview
Fall 2024,2024-11-26,194.0,Beginner Watercolor with Liz Fusco | Tues 6:30-8:30pm | 11/26-12/17 | Fall 2024,Old Bethpage
Fall 2024,2024-11-26,250.0,Pre-College Portfolio Figure Drawing with Stephanie Folk | Tuesdays 7:00-9:00| 11/26-12/17  | Fall 2024,Dix Hills
Fall 2024,2024-12-03,280.0,Printmaking Sampler with Stephanie Navon Jacobson | Tues 9:30-1:30 | 12/3-12/17 | Fall 2024,Syosset
Fall 2024,2024-11-26,170.0,Creative Cartooning & Realistic Drawing with Lori Hochberg | Ages 8-12 |Tues |5:30-7:00pm| 11/26-12/17| Fall 2024,Dix Hills
Fall 2024,2024-11-26,170.0,Creative Cartooning & Realistic Drawing with Lori Hochberg | Ages 8-12 |Tues |5:30-7:00pm| 11/26-12/17| Fall 2024,East northport
Fall 2024,2024-11-26,170.0,Creative Cartooning & Realistic Drawing with Lori Hochberg | Ages 8-12 |Tues |5:30-7:00pm| 11/26-12/17| Fall 2024,East Northport
Fall 2024,2024-11-26,170.0,Creative Cartooning & Realistic Drawing with Lori Hochberg | Ages 8-12 |Tues |5:30-7:00pm| 11/26-12/17| Fall 2024,East Northport
Fall 2024,2024-11-27,292.0,Handbuilding - Plan to Technique with Laura Peters | Wed 1-4pm | 11/27-12/18| Fall 2024,Huntington
Spring 2025,2025-01-10,430.0,World of Watercolor with Ross Barbera | Fri 1-4pm | 1/10-2/14 | Spring 2025,Huntington
Spring 2025,2025-01-08,448.0,Handbuilding - Plan to Technique with Laura Peters | Wed 1-4pm | 1/8-2/12 | Spring 2025,Seaford
Fall 2024,2024-12-05,215.0,Abstract Painting: Acrylics with Kevin Larkin |Thursdays 2-5pm| 12/5-12/19 | Fall 2024,Bay Shore
Fall 2024,2024-12-04,95.0,Open Studio w/Model - Short Pose | Linda Gottlieb | Weds 6pm-9pm | 12/4-12/18 | Fall 2024,Copiague
Spring 2025,2025-02-26,300.0,Landscape and Nature Photography with Keith Krejci | Wed 6:30-8:30pm | 2/26-4/9 | Spring 2025,Dix Hills
Fall 2024,2024-12-07,0.0,Paper Cutting Snowflake Workshop with Rob Stenzel | Saturday 12/7 1:00pm - 2:30pm | Fall 2024,northport
Fall 2024,2024-12-07,0.0,Paper Cutting Snowflake Workshop with Rob Stenzel | Saturday 12/7 1:00pm - 2:30pm | Fall 2024,northport
Fall 2024,2024-12-07,0.0,Paper Cutting Snowflake Workshop with Rob Stenzel | Saturday 12/7 1:00pm - 2:30pm | Fall 2024,northport
Fall 2024,2024-12-07,0.0,Paper Cutting Snowflake Workshop with Rob Stenzel | Saturday 12/7 1:00pm - 2:30pm | Fall 2024,northport
Fall 2024,2024-12-08,0.0,Paper Cutting Snowflake Workshop with Rob Stenzel | Sunday 12/8 11:00am - 12:30pm | Fall 2024,
Spring 2025,2025-01-10,430.0,Advanced World of Watercolor with Ross Barbera | Fri 9:30am-12:30pm | 1/10-2/14 | Spring 2025,Glen Head
